t,sensor_V,control_T,control_V,heat_range,heat_%
1560443168.4706964,+1.3027,+001.39,+1.7432,0,000
1560443186.4916954,+1.3089,+001.39,+1.7432,0,000
1560443204.5128226,+1.3152,+001.39,+1.7430,0,000
1560443222.533908,+1.3218,+001.39,+1.7427,0,000
1560443240.554698,+1.3283,+001.39,+1.7422,0,000
1560443258.5758018,+1.3351,+001.39,+1.7417,0,000
1560443276.5965872,+1.3420,+001.39,+1.7411,0,000
1560443294.616852,+1.3488,+001.39,+1.7405,0,000
1560443312.6376922,+1.3556,+001.39,+1.7399,0,000
1560443330.6585124,+1.3625,+001.39,+1.7394,0,000
1560443348.6793704,+1.3691,+001.39,+1.7389,0,000
1560443366.7001674,+1.3759,+001.39,+1.7383,0,000
1560443384.7211149,+1.3825,+001.39,+1.7378,0,000
1560443402.741434,+1.3890,+001.39,+1.7373,0,000
1560443420.7616029,+1.3954,+001.39,+1.7368,0,000
1560443438.7824962,+1.4014,+001.39,+1.7363,0,000
1560443456.803367,+1.4073,+001.39,+1.7358,0,000
1560443474.8238783,+1.4131,+001.39,+1.7354,0,000
1560443492.8448007,+1.4186,+001.39,+1.7350,0,000
1560443510.8656135,+1.4238,+001.39,+1.7346,0,000
1560443528.8864453,+1.4286,+001.39,+1.7342,0,000
1560443546.9071798,+1.4332,+001.39,+1.7338,0,000
1560443564.9282866,+1.4375,+001.39,+1.7334,0,000
1560443582.949428,+1.4415,+001.39,+1.7331,0,000
1560443600.970225,+1.4452,+001.39,+1.7328,0,000
1560443618.9912627,+1.4486,+001.39,+1.7324,0,000
1560443637.0123518,+1.4518,+001.39,+1.7321,0,000
1560443655.0333786,+1.4547,+001.39,+1.7318,0,000
1560443673.0544724,+1.4573,+001.39,+1.7315,0,000
1560443691.0753515,+1.4598,+001.39,+1.7312,0,000
1560443709.0963433,+1.4619,+001.39,+1.7310,0,000
1560443727.1172202,+1.4639,+001.39,+1.7307,0,000
1560443745.1382434,+1.4657,+001.39,+1.7304,0,000
1560443763.1591396,+1.4674,+001.39,+1.7302,0,000
1560443781.180063,+1.4689,+001.39,+1.7299,0,000
1560443799.2011788,+1.4702,+001.39,+1.7297,0,000
1560443817.2222455,+1.4715,+001.39,+1.7294,0,000
1560443835.2431383,+1.4725,+001.39,+1.7291,0,000
1560443853.264236,+1.4736,+001.39,+1.7289,0,000
1560443871.2853155,+1.4745,+001.39,+1.7286,0,000
1560443889.306182,+1.4753,+001.39,+1.7284,0,000
1560443907.3268905,+1.4761,+001.39,+1.7280,0,000
1560443925.3478677,+1.4767,+001.39,+1.7277,0,000
1560443943.3687987,+1.4773,+001.39,+1.7273,0,000
1560443961.3897324,+1.4779,+001.39,+1.7269,0,000
1560443979.410783,+1.4784,+001.39,+1.7266,0,000
1560443997.4317997,+1.4788,+001.39,+1.7266,0,000
1560444015.4528325,+1.4793,+001.39,+1.7265,0,000
1560444033.4738767,+1.4796,+001.39,+1.7262,0,000
1560444051.494922,+1.4800,+001.39,+1.7261,0,000
1560444069.515878,+1.4803,+001.39,+1.7259,0,000
1560444087.536834,+1.4807,+001.39,+1.7258,0,000
