t,Sensor V [V],Control T [K],Control V [V],Heater Range [a.u.],Heater % [a.u.],Setpoint T [K]
1561160377.5228121,+0.5706,+296.3,+0.5277,0,000,+001.69
1561160399.5482593,+0.5706,+296.3,+0.5277,0,000,+001.69
1561160421.573659,+0.5706,+296.3,+0.5277,0,000,+001.69
1561160443.5991662,+0.5706,+296.3,+0.5277,0,000,+001.69
1561160465.6245723,+0.5706,+296.3,+0.5278,0,000,+001.69
1561160487.6499472,+0.5706,+296.3,+0.5278,0,000,+001.69
1561160509.6754632,+0.5706,+296.3,+0.5278,0,000,+001.69
1561160531.700894,+0.5706,+296.3,+0.5278,0,000,+001.69
1561160553.7262125,+0.5706,+296.3,+0.5278,0,000,+001.69
1561160575.751827,+0.5706,+296.3,+0.5278,0,000,+001.69
1561160597.777298,+0.5706,+296.3,+0.5278,0,000,+001.69
1561160619.8029807,+0.5706,+296.3,+0.5278,0,000,+001.69
1561160641.8286083,+0.5706,+296.3,+0.5278,0,000,+001.69
1561160663.8540146,+0.5706,+296.3,+0.5278,0,000,+001.69
1561160685.8796122,+0.5706,+296.3,+0.5278,0,000,+001.69
1561160707.905327,+0.5706,+296.3,+0.5278,0,000,+001.69
1561160729.9287837,+0.5706,+296.3,+0.5278,0,000,+001.69
1561160751.9541268,+0.5706,+296.3,+0.5278,0,000,+001.69
1561160773.9795606,+0.5706,+296.3,+0.5278,0,000,+001.69
1561160796.0033185,+0.5706,+296.3,+0.5278,0,000,+001.69
1561160818.0290873,+0.5706,+296.3,+0.5278,0,000,+001.69
1561160840.052579,+0.5706,+296.3,+0.5278,0,000,+001.69
1561160862.078284,+0.5706,+296.3,+0.5278,0,000,+001.69
1561160884.1039433,+0.5706,+296.3,+0.5278,0,000,+001.69
1561160906.1294625,+0.5706,+296.3,+0.5278,0,000,+324.9
1561160928.1551483,+0.5706,+296.3,+0.5278,0,000,+324.9
1561160950.180541,+0.5706,+296.3,+0.5278,0,000,+324.9
1561160972.206066,+0.5706,+296.3,+0.5278,0,000,+324.9
1561160994.2317688,+0.5706,+296.3,+0.5278,0,000,+324.9
1561161016.2573023,+0.5706,+296.3,+0.5278,0,000,+324.9
1561161038.2829847,+0.5706,+296.3,+0.5278,0,000,+324.9
1561161060.308411,+0.5706,+296.3,+0.5278,0,000,+324.9
1561161082.3338017,+0.5706,+296.3,+0.5278,0,000,+324.9
1561161104.3593223,+0.5706,+296.3,+0.5278,0,000,+324.9
1561161126.384826,+0.5706,+296.3,+0.5278,0,000,+324.9
1561161148.410257,+0.5706,+296.3,+0.5278,0,000,+324.9
1561161170.4358869,+0.5706,+296.3,+0.5278,0,000,+324.9
1561161192.4611707,+0.5706,+296.3,+0.5278,0,000,+324.9
1561161214.4866958,+0.5706,+296.3,+0.5278,0,000,+324.9
1561161236.5122206,+0.5706,+296.3,+0.5278,0,000,+324.9
1561161258.5374994,+0.5706,+296.3,+0.5278,0,000,+324.9
1561161280.5629306,+0.5706,+296.3,+0.5278,0,000,+324.9
1561161302.5884159,+0.5706,+296.3,+0.5278,0,000,+324.9
1561161324.613694,+0.5706,+296.3,+0.5278,0,000,+324.9
1561161346.639195,+0.5706,+296.3,+0.5278,0,000,+324.9
1561161368.6647506,+0.5706,+296.3,+0.5278,0,000,+324.9
1561161390.6901739,+0.5706,+296.3,+0.5278,0,000,+324.9
1561161412.71567,+0.5706,+296.3,+0.5278,0,000,+324.9
1561161434.7414846,+0.5706,+296.3,+0.5278,0,000,+324.9
1561161456.7671885,+0.5706,+296.3,+0.5278,0,000,+324.9
1561161478.7927127,+0.5706,+296.3,+0.5278,0,000,+324.9
1561161500.8181515,+0.5706,+296.3,+0.5278,0,000,+324.9
1561161522.843552,+0.5706,+296.3,+0.5278,0,000,+324.9
1561161544.8690948,+0.5706,+296.3,+0.5278,0,000,+324.9
1561161566.8944151,+0.5706,+296.3,+0.5278,0,000,+324.9
1561161588.9200034,+0.5706,+296.3,+0.5278,0,000,+324.9
1561161610.9455023,+0.5706,+296.3,+0.5278,0,000,+324.9
1561161632.971078,+0.5706,+296.3,+0.5278,0,000,+324.9
1561161654.996788,+0.5706,+296.3,+0.5278,0,000,+324.9
1561161677.0195343,+0.5706,+296.3,+0.5278,0,000,+324.9
1561161699.0413983,+0.5706,+296.3,+0.5278,0,000,+324.9
1561161721.0633013,+0.5706,+296.3,+0.5278,0,000,+324.9
1561161743.085391,+0.5706,+296.3,+0.5278,0,000,+324.9
1561161765.1075327,+0.5706,+296.3,+0.5278,0,000,+324.9
1561161787.1283262,+0.5706,+296.3,+0.5278,0,000,+324.9
1561161809.1534379,+0.5706,+296.3,+0.5278,0,000,+324.9
1561161831.1790335,+0.5706,+296.3,+0.5278,0,000,+324.9
1561161853.204501,+0.5706,+296.3,+0.5278,0,000,+324.9
1561161875.230149,+0.5706,+296.3,+0.5278,0,000,+324.9
1561161897.2557907,+0.5706,+296.3,+0.5278,0,000,+324.9
1561161919.2813513,+0.5706,+296.3,+0.5278,0,000,+324.9
1561161941.306974,+0.5706,+296.3,+0.5278,0,000,+324.9
1561161963.3325536,+0.5706,+296.3,+0.5278,0,000,+324.9
1561161985.357842,+0.5706,+296.3,+0.5278,0,000,+324.9
1561162007.383567,+0.5706,+296.3,+0.5278,0,000,+324.9
1561162029.4092603,+0.5706,+296.3,+0.5278,0,000,+324.9
1561162051.4346187,+0.5706,+296.3,+0.5278,0,000,+324.9
1561162073.4601867,+0.5706,+296.3,+0.5278,0,000,+324.9
