t,kelvin,sensor,htr_range 1,htr_lvl 1,setp 1
1581924656.7490878,"+00.0000,+298.188,+00.0000,+00.0000","+0.00000,+0.52327,+0.00000,+0.00000",0,+000.0,+100.510
1581924662.0843709,"+00.0000,+298.190,+00.0000,+00.0000","+0.00000,+0.52327,+0.00000,+0.00000",0,+000.0,+100.510
1581924667.4177558,"+00.0000,+298.189,+00.0000,+00.0000","+0.00000,+0.52327,+0.00000,+0.00000",0,+000.0,+100.510
1581924672.7461565,"+00.0000,+298.191,+00.0000,+00.0000","+0.00000,+0.52326,+0.00000,+0.00000",0,+000.0,+100.510
1581924678.086074,"+00.0000,+298.188,+00.0000,+00.0000","+0.00000,+0.52327,+0.00000,+0.00000",0,+000.0,+100.510
1581924683.4239485,"+00.0000,+298.189,+00.0000,+00.0000","+0.00000,+0.52327,+0.00000,+0.00000",0,+000.0,+100.510
1581924688.7530634,"+00.0000,+298.188,+00.0000,+00.0000","+0.00000,+0.52327,+0.00000,+0.00000",0,+000.0,+100.510
1581924694.0871804,"+00.0000,+298.186,+00.0000,+00.0000","+0.00000,+0.52328,+0.00000,+0.00000",0,+000.0,+100.510
1581924699.4255385,"+00.0000,+298.180,+00.0000,+00.0000","+0.00000,+0.52329,+0.00000,+0.00000",0,+000.0,+100.510
1581924704.7540693,"+00.0000,+298.179,+00.0000,+00.0000","+0.00000,+0.52329,+0.00000,+0.00000",0,+000.0,+100.510
1581924710.0884986,"+00.0000,+298.182,+00.0000,+00.0000","+0.00000,+0.52329,+0.00000,+0.00000",0,+000.0,+100.510
1581924715.42684,"+00.0000,+298.189,+00.0000,+00.0000","+0.00000,+0.52327,+0.00000,+0.00000",0,+000.0,+100.510
1581924720.7536438,"+00.0000,+298.192,+00.0000,+00.0000","+0.00000,+0.52326,+0.00000,+0.00000",0,+000.0,+100.510
1581924726.090246,"+00.0000,+298.192,+00.0000,+00.0000","+0.00000,+0.52326,+0.00000,+0.00000",0,+000.0,+100.510
1581924731.428451,"+00.0000,+298.199,+00.0000,+00.0000","+0.00000,+0.52324,+0.00000,+0.00000",0,+000.0,+100.510
1581924736.757626,"+00.0000,+298.206,+00.0000,+00.0000","+0.00000,+0.52323,+0.00000,+0.00000",0,+000.0,+100.510
1581924742.091166,"+00.0000,+298.211,+00.0000,+00.0000","+0.00000,+0.52321,+0.00000,+0.00000",0,+000.0,+100.510
1581924747.429691,"+00.0000,+298.212,+00.0000,+00.0000","+0.00000,+0.52321,+0.00000,+0.00000",0,+000.0,+100.510
1581924752.7587597,"+00.0000,+298.216,+00.0000,+00.0000","+0.00000,+0.52320,+0.00000,+0.00000",0,+000.0,+100.510
1581924758.0919302,"+00.0000,+298.223,+00.0000,+00.0000","+0.00000,+0.52318,+0.00000,+0.00000",0,+000.0,+100.510
1581924763.431116,"+00.0000,+298.219,+00.0000,+00.0000","+0.00000,+0.52319,+0.00000,+0.00000",0,+000.0,+100.510
1581924768.7609577,"+00.0000,+298.215,+00.0000,+00.0000","+0.00000,+0.52321,+0.00000,+0.00000",0,+000.0,+100.510
1581924774.091028,"+00.0000,+298.213,+00.0000,+00.0000","+0.00000,+0.52321,+0.00000,+0.00000",0,+000.0,+100.510
1581924779.4324183,"+00.0000,+298.215,+00.0000,+00.0000","+0.00000,+0.52321,+0.00000,+0.00000",0,+000.0,+100.510
1581924784.7619846,"+00.0000,+298.209,+00.0000,+00.0000","+0.00000,+0.52322,+0.00000,+0.00000",0,+000.0,+100.510
1581924790.0919285,"+00.0000,+298.210,+00.0000,+00.0000","+0.00000,+0.52322,+0.00000,+0.00000",0,+000.0,+100.510
1581924795.4319482,"+00.0000,+298.205,+00.0000,+00.0000","+0.00000,+0.52323,+0.00000,+0.00000",0,+000.0,+100.510
1581924800.7608879,"+00.0000,+298.199,+00.0000,+00.0000","+0.00000,+0.52325,+0.00000,+0.00000",0,+000.0,+100.510
1581924806.0970929,"+00.0000,+298.198,+00.0000,+00.0000","+0.00000,+0.52325,+0.00000,+0.00000",0,+000.0,+100.510
1581924811.4353447,"+00.0000,+298.200,+00.0000,+00.0000","+0.00000,+0.52324,+0.00000,+0.00000",0,+000.0,+100.510
1581924816.7648983,"+00.0000,+298.201,+00.0000,+00.0000","+0.00000,+0.52324,+0.00000,+0.00000",0,+000.0,+100.510
1581924822.098817,"+00.0000,+298.203,+00.0000,+00.0000","+0.00000,+0.52323,+0.00000,+0.00000",0,+000.0,+100.510
1581924827.436661,"+00.0000,+298.204,+00.0000,+00.0000","+0.00000,+0.52323,+0.00000,+0.00000",0,+000.0,+100.510
1581924832.7655458,"+00.0000,+298.210,+00.0000,+00.0000","+0.00000,+0.52322,+0.00000,+0.00000",0,+000.0,+100.510
1581924838.0998197,"+00.0000,+298.215,+00.0000,+00.0000","+0.00000,+0.52321,+0.00000,+0.00000",0,+000.0,+100.510
1581924843.4380546,"+00.0000,+298.214,+00.0000,+00.0000","+0.00000,+0.52321,+0.00000,+0.00000",0,+000.0,+100.510
1581924848.7666698,"+00.0000,+298.216,+00.0000,+00.0000","+0.00000,+0.52320,+0.00000,+0.00000",0,+000.0,+100.510
1581924854.101263,"+00.0000,+298.217,+00.0000,+00.0000","+0.00000,+0.52320,+0.00000,+0.00000",0,+000.0,+100.510
1581924859.439604,"+00.0000,+298.215,+00.0000,+00.0000","+0.00000,+0.52321,+0.00000,+0.00000",0,+000.0,+100.510
1581924864.7666135,"+00.0000,+298.209,+00.0000,+00.0000","+0.00000,+0.52322,+0.00000,+0.00000",0,+000.0,+100.510
1581924870.102595,"+00.0000,+298.206,+00.0000,+00.0000","+0.00000,+0.52323,+0.00000,+0.00000",0,+000.0,+100.510
1581924875.440994,"+00.0000,+298.206,+00.0000,+00.0000","+0.00000,+0.52323,+0.00000,+0.00000",0,+000.0,+100.510
1581924880.7701545,"+00.0000,+298.208,+00.0000,+00.0000","+0.00000,+0.52322,+0.00000,+0.00000",0,+000.0,+100.510
1581924886.1039124,"+00.0000,+298.211,+00.0000,+00.0000","+0.00000,+0.52322,+0.00000,+0.00000",0,+000.0,+100.510
1581924891.4424129,"+00.0000,+298.216,+00.0000,+00.0000","+0.00000,+0.52320,+0.00000,+0.00000",0,+000.0,+100.510
1581924896.7702672,"+00.0000,+298.220,+00.0000,+00.0000","+0.00000,+0.52319,+0.00000,+0.00000",0,+000.0,+100.510
1581924902.1056213,"+00.0000,+298.219,+00.0000,+00.0000","+0.00000,+0.52320,+0.00000,+0.00000",0,+000.0,+100.510
